cell type scores - log2,,,,,,,,,,,
,Astrocytes,Neutrophils,Oligodendrocytes,B-cells,Cytotoxic cells,Mast cells,Endothelial Cells,DC,Macrophages_Microglia,Neuron,CD45
AD_E04-186,8.380919609,6.824811137,8.098939921,5.42879813,5.918744344,5.833188386,8.339069266,5.985191479,7.307388759,7.012200134,6.864897245
Control_E05-130,6.836595615,6.086293638,6.727585604,6.861413657,4.644710506,5.162922211,6.911769698,5.396121387,6.185283986,6.737964819,5.651960291
Control_E08-101,8.178959394,7.027324473,8.087957252,6.254374968,5.937644459,6.772223273,8.792360475,6.080345568,6.620361065,6.060534938,5.794943349
AD_E12-06,8.664575997,7.456699828,9.268417299,5.378021137,6.636697871,6.493498354,8.140863025,7.274185326,7.303513225,7.464605453,6.762684987
AD_E13-116,8.04764704,7.144783931,9.751004492,4.830952633,5.563849192,5.245990132,7.957008158,7.17672747,6.919978315,6.646747505,6.721723563
FTD_E14-123,8.71838178,8.128245123,9.353138094,6.255107721,7.316536095,7.633619345,8.866206319,6.992073316,8.238613073,7.603174323,7.807648745
Control_E16-45,7.506875649,5.180359143,7.77913367,5.552562407,4.843296818,4.479806065,7.040356935,5.68791426,5.303883631,6.850592462,5.048089824
FTD_E17-17,8.622250202,8.119043717,8.606655812,5.610872759,5.878078244,6.048278071,8.581922709,6.292696799,7.058545486,6.851881712,6.944773495
Control_OS02-35,6.753879656,6.47053474,7.816243925,5.494419792,4.588087875,4.308006667,7.041914212,5.177946127,6.826923556,5.768016304,6.415809957
FTD_OS98-06,7.703747235,5.896732001,8.522916048,5.423662746,4.986428187,5.093514144,7.146307185,6.964231127,5.856463268,6.782748454,4.918427438
AD_OS-140909,8.141446117,6.915057399,8.547904844,6.074707944,5.457046071,4.624046535,7.737457008,6.176587558,7.333545642,6.820101512,6.599798988
FTD_OS-150716,8.150368553,7.807433295,8.468782393,5.458272446,5.212895169,5.407646373,7.533373,6.79011601,8.287041702,6.768993481,7.328211905
Control_E05-74,7.460097195,5.2770664,7.927244016,7.418012449,5.068860462,4.570015542,7.065881728,5.598584695,5.324106384,7.164857183,5.318476775
AD_E05-87,7.88217564,6.476209532,8.861558403,4.803836657,4.777721677,4.803836657,7.714293076,6.026229078,6.671925394,6.636909958,5.984408902
Control_E06-41,7.459179324,6.430204007,7.34116774,6.03432234,4.267909902,4.914028107,7.246378578,6.048677633,6.395287579,6.500526691,5.914028107
AD_E06-155,6.984004254,6.176748806,8.590519805,5.472264363,3.783618924,4.832439927,6.670543322,4.53545819,5.797720664,6.114770762,5.929737129
FTD_E07-70,8.968184395,6.405595233,9.196243222,5.848235709,5.705034878,5.102808536,8.061459839,6.474777313,7.758700958,6.75129597,7.015345695
FTD_E08-24,9.226888484,7.816268141,8.668597651,6.276746033,6.122738447,5.734218798,8.510360436,6.653600338,7.125452523,6.917331909,6.810569685
FTD_E08-133,8.900339923,6.395822083,8.295577259,5.135805712,5.47436725,5.733046543,8.252338885,6.494259683,6.272996057,6.703829732,5.95892795
AD_E11-139,7.048549961,6.346203127,7.16899313,5.982559364,4.621630014,4.167591258,6.739084007,6.012616598,5.763144692,6.540794969,5.582628758
AD_E12-29,8.114011771,6.975022336,7.901827033,5.329086577,5.065813669,5.191583053,7.541375808,5.597575413,6.938298732,6.947796467,6.136441499
Control_E14-06,7.035066507,5.896221443,7.456925078,6.356222682,5.25638651,5.101408783,6.89541503,5.54886776,6.075648636,6.416440554,5.619257088
FTD_E15-66,8.907740282,8.056497767,8.305781267,5.115981047,5.937374613,5.193983559,7.951098101,5.469618002,7.493781244,5.967428199,6.840873809
Control_OS03-390,7.807915601,6.585618771,7.939547219,4.643382558,4.720583923,4.308963519,7.869764129,5.955326564,6.126077552,6.335745117,5.277254659
